inloco_name,ibge_name,distance_measure
Microrregião de Gurupi,Gurupi,0
Microrregião de Gurupi,Gurupi,0
Microrregião de Ilhéus-Itabuna,Ilhéus-Itabuna,0
Microrregião de Boquira,Boquira,0
Microrregião de Santo Antônio de Jesus,Santo Antônio de Jesus,0
Microrregião de Canoinhas,Canoinhas,0
Microrregião de Salvador,Salvador,0
Microrregião de Campos dos Goytacazes,Campos dos Goytacazes,0
Microrregião de Jaú,Jaú,0
Microrregião de Cascavel,Cascavel,0
Microrregião de Cascavel,Cascavel,0
Microrregião Cascavel,Cascavel,0
Microrregião Cascavel,Cascavel,0
Microrregião Conceição do Mato Dentro,Conceição do Mato Dentro,0
Microrregião de Euclides da Cunha,Euclides da Cunha,0
Microrregião de Salgado,Salgado,0
Microrregião Salinas,Salinas,0
Microrregião Alagoana do Sertão do São Francisco,Alagoana do Sertão do São Francisco,0
Microrregião Diamantina,Diamantina,0
Microrregião Floraí,Floraí,0
Microrregião de Umbuzeiro,Umbuzeiro,0
Microrregião de Itajaí,Itajaí,0
Microrregião de Piancó,Piancó,0
Microrregião de Feira de Santana,Feira de Santana,0
Microrregião de Imperatriz,Imperatriz,0
Microrregião Ji-Paraná,Ji-Paraná,0
Microrregião de Manaus,Manaus,0
Microrregião de Mossoró,Mossoró,0
Microrregião de Boca do Acre,Boca do Acre,0
Microrregião de Catu,Catu,0
Microrregião do Alto Paraguai,Alto Paraguai,0
Microrregião de Cuiabá,Cuiabá,0
Microrregião Ivaiporã,Ivaiporã,0
Microrregião de Ribeira do Pombal,Ribeira do Pombal,0
