"","State","City","0.001","0.005","0.1","0.2","0.4","0.5","0.6","0.8","1.0","1.2","1.4","1.6","1.8","2.0","2.5","3.0","Grupo_menor","Grupo_maior","Grupo"
"124","SP","CASA BRANCA",26,26,26,26,25,26,24,26,24,25,24,24,24,25,24,24,"Medium Risk","Medium Risk","Medium Risk"
"125","SP","CÁSSIA DOS COQUEIROS",36,39,39,37,36,37,36,36,35,36,34,34,34,35,34,33,"Low Risk","Low Risk","Low Risk"
"126","SP","CASTILHO",31,31,31,30,29,31,29,31,29,30,29,29,29,30,30,29,"Medium Risk","Low Risk","Low Risk"
"127","SP","CATANDUVA",24,25,25,24,23,24,23,24,22,24,23,22,23,24,23,22,"Medium Risk","Medium Risk","Medium Risk"
"128","SP","CATIGUÁ",31,32,32,31,30,31,30,31,29,31,29,29,30,30,30,29,"Medium Risk","Low Risk","Low Risk"
"129","SP","CEDRAL",30,30,30,29,28,30,28,29,27,29,27,27,28,28,28,27,"Medium Risk","Medium Risk","Medium Risk"
"130","SP","CERQUEIRA CÉSAR",24,24,24,23,23,24,22,24,22,23,22,22,22,23,23,22,"Medium Risk","Medium Risk","Medium Risk"
"131","SP","CERQUILHO",23,23,23,22,21,23,21,22,21,22,21,20,21,22,21,20,"Medium Risk","Medium Risk","Medium Risk"
"132","SP","CESÁRIO LANGE",22,23,23,22,21,22,21,22,20,22,21,20,21,22,21,21,"Medium Risk","Medium Risk","Medium Risk"
"133","SP","CHARQUEADA",29,30,30,28,27,28,27,28,26,27,26,25,26,26,25,25,"Medium Risk","Medium Risk","Medium Risk"
"134","SP","CHAVANTES",33,33,33,32,30,32,30,31,29,31,29,28,29,30,29,28,"Low Risk","Low Risk","Low Risk"
"135","SP","CLEMENTINA",36,41,42,41,38,39,37,38,36,37,35,34,35,35,34,33,"Low Risk","Low Risk","Low Risk"
"136","SP","COLINA",31,31,31,30,29,30,29,30,29,30,29,28,29,29,29,28,"Medium Risk","Low Risk","Medium Risk"
"137","SP","COLÔMBIA",35,35,35,34,33,34,33,34,32,34,32,32,32,33,32,32,"Low Risk","Low Risk","Low Risk"
"138","SP","CONCHAL",27,28,28,27,26,27,25,26,25,26,25,24,25,25,25,24,"Medium Risk","Medium Risk","Medium Risk"
"139","SP","CONCHAS",26,27,27,26,25,26,25,26,24,25,24,24,24,25,24,24,"Medium Risk","Medium Risk","Medium Risk"
"140","SP","CORDEIRÓPOLIS",19,20,20,19,18,20,18,20,18,20,18,18,19,20,19,19,"High Risk","Medium Risk","High Risk"
"141","SP","COROADOS",33,34,33,32,31,33,31,32,31,32,31,30,31,32,31,31,"Low Risk","Low Risk","Low Risk"
"142","SP","CORONEL MACEDO",36,36,36,35,34,35,33,34,33,34,32,32,32,33,32,32,"Low Risk","Low Risk","Low Risk"
"143","SP","CORUMBATAÍ",28,28,28,27,27,28,27,28,26,28,27,26,27,28,27,27,"Medium Risk","Medium Risk","Medium Risk"
"144","SP","COSMÓPOLIS",23,23,23,22,21,22,21,22,20,21,20,19,20,20,20,19,"Medium Risk","Medium Risk","Medium Risk"
"145","SP","COSMORAMA",36,36,36,34,33,34,33,34,32,33,32,31,32,32,32,31,"Low Risk","Low Risk","Low Risk"
"146","SP","COTIA",7,8,8,7,6,8,6,7,6,8,6,6,7,7,7,7,"High Risk","High Risk","High Risk"
"147","SP","CRAVINHOS",26,26,26,25,24,26,24,25,24,25,24,23,24,25,24,23,"Medium Risk","Medium Risk","Medium Risk"
"148","SP","CRISTAIS PAULISTA",31,32,32,31,30,31,30,31,30,31,30,29,30,31,30,30,"Medium Risk","Low Risk","Low Risk"
"149","SP","CRUZÁLIA",36,39,39,38,36,38,36,37,35,37,35,35,35,36,35,35,"Low Risk","Low Risk","Low Risk"
"150","SP","CRUZEIRO",23,24,24,23,22,23,22,23,21,22,21,20,21,22,21,20,"Medium Risk","Medium Risk","Medium Risk"
"151","SP","CUBATÃO",15,16,16,15,14,15,14,15,13,15,13,13,14,14,14,13,"High Risk","High Risk","High Risk"
"152","SP","CUNHA",27,27,27,26,25,27,25,26,25,26,25,24,25,25,25,24,"Medium Risk","Medium Risk","Medium Risk"
"153","SP","DESCALVADO",28,28,28,27,26,27,26,27,25,27,25,25,25,26,25,24,"Medium Risk","Medium Risk","Medium Risk"
"154","SP","DIADEMA",5,4,5,5,4,5,4,5,4,5,4,4,4,5,5,4,"High Risk","High Risk","High Risk"
"155","SP","DIRCE REIS",36,41,42,44,42,43,41,42,40,41,39,38,39,39,38,37,"Low Risk","Low Risk","Low Risk"
"156","SP","DIVINOLÂNDIA",32,32,32,31,30,31,30,31,29,31,29,29,29,30,29,29,"Medium Risk","Low Risk","Low Risk"
"157","SP","DOBRADA",36,36,36,34,33,34,32,33,31,33,31,31,31,32,31,30,"Low Risk","Low Risk","Low Risk"
"158","SP","DOIS CÓRREGOS",30,31,31,29,28,30,28,29,27,29,27,27,27,28,27,26,"Medium Risk","Medium Risk","Medium Risk"
"159","SP","DOLCINÓPOLIS",36,41,42,44,42,43,41,41,39,40,38,38,38,39,38,37,"Low Risk","Low Risk","Low Risk"
"160","SP","DOURADO",32,32,32,31,30,31,30,31,29,30,29,28,29,30,29,28,"Medium Risk","Low Risk","Low Risk"
"161","SP","DRACENA",29,29,29,28,27,29,27,28,27,28,27,26,27,28,27,27,"Medium Risk","Medium Risk","Medium Risk"
"162","SP","DUARTINA",31,31,31,30,29,30,29,30,28,30,28,28,28,29,28,28,"Medium Risk","Medium Risk","Medium Risk"
"163","SP","DUMONT",36,36,35,34,32,33,31,32,30,31,30,29,30,30,29,29,"Low Risk","Low Risk","Low Risk"
"164","SP","ECHAPORÃ",33,33,33,32,31,33,31,32,31,32,31,31,31,32,31,31,"Low Risk","Low Risk","Low Risk"
"165","SP","ELDORADO",29,29,29,28,27,28,27,28,26,27,26,25,26,27,26,25,"Medium Risk","Medium Risk","Medium Risk"
"166","SP","ELIAS FAUSTO",26,26,26,25,24,25,24,25,23,24,23,22,23,23,23,22,"Medium Risk","Medium Risk","Medium Risk"
"167","SP","ELISIÁRIO",35,35,35,34,33,34,33,34,32,34,32,32,33,33,33,32,"Low Risk","Low Risk","Low Risk"
"168","SP","EMBAÚBA",36,39,39,38,37,38,37,38,36,38,36,35,36,37,36,35,"Low Risk","Low Risk","Low Risk"
"169","SP","EMBU DAS ARTES",6,6,6,6,5,6,5,6,5,6,5,5,5,6,6,5,"High Risk","High Risk","High Risk"
"170","SP","EMBU-GUAÇU",10,10,11,10,9,10,9,10,9,10,9,9,9,10,10,10,"High Risk","High Risk","High Risk"
"171","SP","EMILIANÓPOLIS",36,41,42,43,40,41,39,39,37,38,37,36,36,37,36,35,"Low Risk","Low Risk","Low Risk"
"172","SP","ENGENHEIRO COELHO",25,26,26,25,24,25,24,25,23,25,23,23,24,24,24,23,"Medium Risk","Medium Risk","Medium Risk"
"173","SP","ESPÍRITO SANTO DO PINHAL",26,26,26,25,24,26,24,25,24,25,24,23,24,25,24,24,"Medium Risk","Medium Risk","Medium Risk"
"174","SP","ESPÍRITO SANTO DO TURVO",33,33,33,32,30,31,30,31,29,30,29,28,29,29,29,28,"Low Risk","Low Risk","Low Risk"
"175","SP","ESTIVA GERBI",27,27,27,26,25,27,25,27,25,26,25,25,25,26,25,25,"Medium Risk","Medium Risk","Medium Risk"
"176","SP","ESTRELA D'OESTE",34,35,35,34,33,34,32,34,32,33,32,31,32,33,32,32,"Low Risk","Low Risk","Low Risk"
"177","SP","ESTRELA DO NORTE",36,39,39,38,37,38,37,38,36,38,36,36,36,37,37,36,"Low Risk","Low Risk","Low Risk"
"178","SP","EUCLIDES DA CUNHA PAULISTA",36,37,37,36,35,36,35,36,34,36,34,34,34,35,34,34,"Low Risk","Low Risk","Low Risk"
"179","SP","FARTURA",31,32,32,31,30,31,30,31,29,31,29,29,29,30,29,29,"Medium Risk","Low Risk","Low Risk"
"180","SP","FERNANDO PRESTES",32,32,32,31,30,32,30,31,30,31,30,30,30,31,31,30,"Low Risk","Low Risk","Low Risk"
"181","SP","FERNANDÓPOLIS",27,27,27,26,25,27,25,27,25,27,25,25,25,26,26,25,"Medium Risk","Medium Risk","Medium Risk"
"182","SP","FERNÃO",36,37,37,36,34,36,34,35,33,35,33,33,33,34,33,33,"Low Risk","Low Risk","Low Risk"
"183","SP","FERRAZ DE VASCONCELOS",6,7,7,6,5,7,5,7,5,7,6,5,6,7,7,6,"High Risk","High Risk","High Risk"
"184","SP","FLORA RICA",36,39,39,38,37,38,36,38,36,37,36,36,36,37,36,35,"Low Risk","Low Risk","Low Risk"
"185","SP","FLOREAL",36,37,37,36,35,37,35,36,34,36,34,34,35,35,34,34,"Low Risk","Low Risk","Low Risk"
"186","SP","FLÓRIDA PAULISTA",33,33,33,32,31,32,31,32,30,32,31,30,31,32,31,30,"Low Risk","Low Risk","Low Risk"
"187","SP","FLORÍNEA",31,32,32,31,30,32,30,32,30,32,30,30,31,32,31,31,"Low Risk","Low Risk","Low Risk"
"188","SP","FRANCA",21,22,22,21,20,21,20,21,19,21,20,19,20,21,20,19,"Medium Risk","Medium Risk","Medium Risk"
"189","SP","FRANCISCO MORATO",10,10,10,9,9,10,8,10,8,10,8,8,9,10,9,9,"High Risk","High Risk","High Risk"
"190","SP","FRANCO DA ROCHA",8,9,9,8,7,9,7,9,7,9,7,7,8,9,8,8,"High Risk","High Risk","High Risk"
"191","SP","GABRIEL MONTEIRO",36,38,38,37,36,37,36,37,35,37,36,35,36,37,36,35,"Low Risk","Low Risk","Low Risk"
"192","SP","GÁLIA",30,30,30,29,28,29,28,29,28,29,28,27,28,29,28,28,"Medium Risk","Medium Risk","Medium Risk"
