"Municipio","DRS","Minimo","Mediana","Máximo"
"SANTANA DE PARNAÍBA","Grande São Paulo",0.862719339886012,0.93150196882746,1.01320427804714
"SETE BARRAS","Registro",0.875129586107199,0.930906937665793,1.04485234979022
"PORTO FERREIRA","Araraquara",0.85400308776943,0.928097300006945,1.01848829194967
"GUARÁ","Franca",0.847926515845939,0.926411160089667,1.01292902810545
"DESCALVADO","Araraquara",0.845811374132295,0.92350748014204,1.00979253407459
"GUAÍRA","Barretos",0.854575692087289,0.922904627647334,1.0260375397555
"AURIFLAMA","Araçatuba",0.833665084544723,0.922237009538468,1.00106078865297
"SERRA AZUL","Ribeirão Preto",0.84618597950976,0.919989741745965,1.00919670056933
"URÂNIA","São José do Rio Preto",0.858187298500094,0.919785446045284,1.02669017762477
"MIRASSOL","São José do Rio Preto",0.844068232614542,0.918736217330313,1.00669786653223
"NOVA LUZITÂNIA","Araçatuba",0.826768873303592,0.918031547223335,0.99464423173408
"CACHOEIRA PAULISTA","Taubaté",0.839158596072896,0.917559859986609,1.00297394209846
"NHANDEARA","São José do Rio Preto",0.849850737541071,0.917446738854973,1.00391877463053
"JOSÉ BONIFÁCIO","São José do Rio Preto",0.850898588195278,0.913700036381972,1.00612432570466
"IGUAPE","Registro",0.838764116807819,0.91290907137137,0.998690796954792
"SÃO JOSÉ DOS CAMPOS","Taubaté",0.831798494848828,0.912047606269991,1.00262711424027
"TABAPUÃ","São José do Rio Preto",0.839293675716805,0.908966455118887,1.00572473076488
"VARGEM GRANDE PAULISTA","Grande São Paulo",0.833173417595334,0.908190897593174,0.999037320464116
"PAULÍNIA","Campinas",0.831772045126586,0.904551129974059,0.995080431543281
"ELIAS FAUSTO","Piracicaba",0.815161036320113,0.904191164318512,0.982101546430615
"POTIRENDABA","São José do Rio Preto",0.830851511145167,0.903031553135362,0.986826090551184
"BOTUCATU","Bauru",0.826276196458076,0.9028195410821,0.990381700410921
"IPEÚNA","Piracicaba",0.820423583976279,0.902794562167628,0.980624671534418
"IPUÃ","Franca",0.815458027498381,0.900209154480015,1.00995690830157
"HORTOLÂNDIA","Campinas",0.82868242781272,0.900014058638405,0.976730247366734
"TREMEMBÉ","Taubaté",0.817589408550401,0.898260632174718,0.974985415396396
"PONTALINDA","São José do Rio Preto",0.821057661136574,0.8981940045545,0.978722774584046
"REGENTE FEIJÓ","Presidente Prudente",0.810026625617743,0.897225067703755,0.973793795472271
"LORENA","Taubaté",0.814272769490218,0.89562266938557,0.980863859534424
"PONTAL","Ribeirão Preto",0.823092384902025,0.895446736630569,0.983015148235952
"MOGI MIRIM","São João da Boa Vista",0.81320107977157,0.894482710182376,0.976700435571066
"SANTO ANASTÁCIO","Presidente Prudente",0.805924056153971,0.891482501676537,0.970666191075767
"PINDORAMA","São José do Rio Preto",0.825495028717842,0.891053726254512,0.98462764977529
"UBATUBA","Taubaté",0.818842947273899,0.890788092050619,0.977642671273449
"CATIGUÁ","São José do Rio Preto",0.802853160045069,0.8890513612935,0.967642682558268
"ITIRAPINA","Piracicaba",0.800900376607459,0.883164773035339,0.957721040034042
"ITAPUÍ","Bauru",0.788324958322181,0.879987858801872,0.955329722430916
"DUMONT","Ribeirão Preto",0.812951029568481,0.877910641225746,0.97292485788028
"CAMPOS DO JORDÃO","Taubaté",0.802588860267602,0.877038742860439,0.960652598815258
"PIRAJU","Bauru",0.787369043219539,0.876408559934011,0.950214491736019
"FRANCO DA ROCHA","Grande São Paulo",0.790306680022361,0.874033124960191,0.955593538411111
"PIRAJUÍ","Bauru",0.781141333422913,0.871684600181591,0.946588221804145
"SÃO PEDRO","Piracicaba",0.788105949787692,0.871365670585602,0.947800258070922
"AVAÍ","Bauru",0.78258535822313,0.871055532260905,0.946354754101425
"SOCORRO","Campinas",0.799502824398637,0.868420633221777,0.951155529583241
"SÃO CARLOS","Araraquara",0.790255595386541,0.868261284509514,0.948241081627545
"CAMPOS NOVOS PAULISTA","Marília",0.782940718069379,0.86753901658427,0.943707648304583
"PRESIDENTE VENCESLAU","Presidente Prudente",0.777461543641269,0.866151098160131,0.939652623479112
"ITAPORANGA","Bauru",0.772556264473333,0.865592499625056,0.941107451273834
"SANTO ANDRÉ","Grande São Paulo",0.779682820714257,0.862300433123826,0.941569167007451
"JUNQUEIRÓPOLIS","Presidente Prudente",0.774906552106684,0.859840763662741,0.951145188490429
"IPERÓ","Sorocaba",0.783897647443209,0.859616016039108,0.933433138498614
"CASA BRANCA","São João da Boa Vista",0.774591496166242,0.85844996803895,0.935634310296141
"PALMEIRA DOESTE","São José do Rio Preto",0.78212118865518,0.858155056900031,0.936131674117786
"MANDURI","Bauru",0.764783377634107,0.855229294374514,0.928340122756047
"TAIAÇU","Barretos",0.782900947982634,0.85494733347301,0.932126636098118
"FERRAZ DE VASCONCELOS","Grande São Paulo",0.775299308750151,0.854864676148699,0.936677300657388
"ITAQUAQUECETUBA","Grande São Paulo",0.772755811024982,0.850913495379103,0.925118096561523
"CHAVANTES","Marília",0.761344803849185,0.848987276360904,0.923276552003831
"SOROCABA","Sorocaba",0.77649781379837,0.848943918888715,0.926319269457301
"PIEDADE","Sorocaba",0.775599508670369,0.84581852292031,0.925798870710982
"SÃO JOSÉ DO RIO PRETO","São José do Rio Preto",0.774695264601388,0.844773974442499,0.930722526197892
"ITU","Sorocaba",0.766699134823788,0.843878333111744,0.919037247895713
"COLINA","Barretos",0.769102640220542,0.843501926447337,0.923332439749676
"CAPIVARI","Piracicaba",0.772162927067222,0.843272547867148,0.935328537684285
"CRUZEIRO","Taubaté",0.768403098553571,0.841076298037076,0.91478782428572
"LAVÍNIA","Araçatuba",0.745508099081599,0.840722265381541,0.919148896911726
"SANTA BRANCA","Taubaté",0.749352723829617,0.836588366903516,0.91185412041103
"AGUAÍ","São João da Boa Vista",0.746772565272099,0.835410528539783,0.907698940573606
