Municipio,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo
FERNANDO PRESTES,2020-08-15,2020-08-15,2020-08-15,0.0255977538944574,0.0292545758793796,0.0341303385259431
TACIBA,2020-08-15,2020-08-15,2020-08-15,0.0285037765255964,0.0325757446006816,0.0380050353674619
TABAPUÃ,2020-08-15,2020-08-15,2020-08-15,0.0911073825503355,0.104122722914669,0.121476510067113
SANTANA DA PONTE PENSA,2020-08-15,2020-08-15,2020-08-15,0.00331481705108079,0.00378836234409233,0.00441975606810771
CAJATI,2020-08-15,2020-08-15,2020-08-15,0.382966322536843,0.437675797184962,0.510621763382456
MACATUBA,2020-08-15,2020-08-15,2020-08-15,0.0440889992360578,0.050387427698352,0.058785332314744
HOLAMBRA,2020-08-15,2020-08-15,2020-08-15,0.0915390999117942,0.104616114184908,0.122052133215726
JUMIRIM,2020-08-15,2020-08-15,2020-08-15,0.0183532396053691,0.0209751309775646,0.0244709861404921
GUARANI DOESTE,2020-08-15,2020-08-15,2020-08-15,0.015469146238377,0.0176790242724309,0.020625528317836
BANANAL,2020-08-15,2020-08-15,2020-08-15,0.090848334679364,0.103826668204988,0.121131112905819
BOCAINA,2020-08-15,2020-08-15,2020-08-15,0.0104681220840028,0.0119635680960029,0.0139574961120035
RIBEIRÃO PIRES,2020-08-15,2020-08-15,2020-08-15,0.382973285513174,0.437683754872197,0.510631047350898
TUPÃ,2020-08-15,2020-08-15,2020-08-15,0.75073864814431,0.857987026450637,1.00098486419241
SALTINHO,2020-08-15,2020-08-15,2020-08-15,0.0283739004421308,0.0324273147910064,0.0378318672561742
AVANHANDAVA,2020-08-15,2020-08-15,2020-08-15,0.0504186431583489,0.0576213064666842,0.0672248575444647
PIRAJU,2020-08-15,2020-08-15,2020-08-15,0.0127013214619236,0.0145157959564841,0.0169350952825642
TRABIJU,2020-08-15,2020-08-15,2020-08-15,0.000831485587583147,0.000950269242952168,0.00110864745011086
SANTA GERTRUDES,2020-08-15,2020-08-15,2020-08-15,0.280242249571584,0.320276856653239,0.373656332762112
ITAPIRA,2020-08-15,2020-08-15,2020-08-15,0.154197400772745,0.176225600883136,0.205596534363657
BENTO DE ABREU,2020-08-15,2020-08-15,2020-08-15,0.00876068622254994,0.0100122128257714,0.0116809149633999
CAJURU,2020-08-15,2020-08-15,2020-08-15,0.138363830577744,0.158130092088851,0.184485107436993
