"micro_reg_id","micro_reg_name","isolated","dt","ibge","ibge.conf","ibge.code"
"5913915003205749cd17108a","Microrregião de Quitéria",0.468003116618969,"2020-05-14","VITÓRIA","VITÓRIA","32009"
"5913914b03205749cd16f439","Microrregião de Serrana do Sertão Alagoano",0.439272556215009,"2020-05-14","SERRANA DO SERTÃO ALAGOANO","SERRANA DO SERTÃO ALAGOANO","27001"
"59138bf703205749cdfe882f","Microrregião de Sapé",0.460285700106125,"2020-05-14","SAPÉ","SAPÉ","25021"
"5913913c03205749cd16b29c","Microrregião do Alto Araguaia",0.289355174930753,"2020-05-14","ALTO ARAGUAIA","ALTO ARAGUAIA","51022"
"59138b8b03205749cdfcdf34","Microrregião de Cerro Largo",0.332133237540048,"2020-05-14","CERRO LARGO","CERRO LARGO","43006"
"591390bc03205749cd142629","Microrregião de Livramento do Brumado",0.394443969333344,"2020-05-14","LIVRAMENTO DO BRUMADO","LIVRAMENTO DO BRUMADO","29025"
"5913910f03205749cd15d3df","Microrregião de Madeira",0.432246148596803,"2020-05-14","MADEIRA","MADEIRA","13013"
"5913912303205749cd162fa4","Microrregião de Amapá",0.55918668470929,"2020-05-14","AMAPÁ","AMAPÁ","16002"
"5913912903205749cd165099","Microrregião do Baixo Pantanal",0.397477195152629,"2020-05-14","BAIXO PANTANAL","BAIXO PANTANAL","50001"
"5913914e03205749cd170724","Microrregião de Ibiapaba",0.467934077704508,"2020-05-14","IBIAPABA","IBIAPABA","23002"
"59138bf803205749cdfe8901","Microrregião do Litoral Sul",0.452643536716759,"2020-05-14","LITORAL SUL","LITORAL SUL","24019"
"59138bf803205749cdfe8901","Microrregião do Litoral Sul",0.452643536716759,"2020-05-14","LITORAL SUL","LITORAL SUL","24019"
"59138bf803205749cdfe8901","Microrregião do Litoral Sul",0.452643536716759,"2020-05-14","LITORAL SUL","LITORAL SUL","24019"
"59138bf803205749cdfe8901","Microrregião do Litoral Sul",0.452643536716759,"2020-05-14","LITORAL SUL","LITORAL SUL","24019"
"5913915703205749cd173c6a","Microrregião de Natal",0.438280505634307,"2020-05-14","NATAL","NATAL","24018"
"5913914b03205749cd16f33c","Microrregião de São Miguel dos Campos",0.417173874286061,"2020-05-14","SÃO MIGUEL DOS CAMPOS","SÃO MIGUEL DOS CAMPOS","27012"
"5913910603205749cd15a071","Microrregião Londrina",0.370156058166054,"2020-05-14","LONDRINA","LONDRINA","41011"
"5913914b03205749cd16f42e","Microrregião Palmeira dos Indios",0.41111429347538,"2020-05-14","PALMEIRA DOS ÍNDIOS","PALMEIRA DOS ÍNDIOS","27005"
"591390cd03205749cd1478d1","Microrregião de Cotegipe",0.391537596523067,"2020-05-14","COTEGIPE","COTEGIPE","29002"
"59138d8d03205749cd051b8d","Microrregião Poços de Caldas",0.377503990674567,"2020-05-14","POÇOS DE CALDAS","POÇOS DE CALDAS","31051"
"59138d8c03205749cd051b5d","Microrregião Araxá",0.388350163589281,"2020-05-14","ARAXÁ","ARAXÁ","31023"
"59138b8b03205749cdfcde60","Microrregião de Erechim",0.411826331069449,"2020-05-14","ERECHIM","ERECHIM","43004"
"5913910803205749cd15aa28","Microrregião Ibatí",0.350880444957806,"2020-05-14","IBAITI","IBAITI","41017"
"59138b8a03205749cdfcdbd5","Microrregião de São Jerônimo",0.388033331908085,"2020-05-14","SÃO JERÔNIMO","SÃO JERÔNIMO","43025"
"59138d8d03205749cd051b96","Microrregião Três Marias",0.362609470714962,"2020-05-14","TRÊS MARIAS","TRÊS MARIAS","31024"
"59138cf603205749cd028433","Microrregião Barra de São Francisco",0.402130852320725,"2020-05-14","BARRA DE SÃO FRANCISCO","BARRA DE SÃO FRANCISCO","32001"
"5913914b03205749cd16f557","Microrregião de Campo Maior",0.437379552801057,"2020-05-14","CAMPO MAIOR","CAMPO MAIOR","22004"
"59138d8c03205749cd051b80","Microrregião Nanuque",0.349374090133683,"2020-05-14","NANUQUE","NANUQUE","31016"
"5913914b03205749cd16f336","Microrregião de Penedo",0.439296108357832,"2020-05-14","PENEDO","PENEDO","27013"
"5913911b03205749cd160f0b","Microrregião de São Bento do Sul",0.376686561897781,"2020-05-14","SÃO BENTO DO SUL","SÃO BENTO DO SUL","42007"
"5913914b03205749cd16f42c","Microrregião da Mata Alagoana",0.424918484438886,"2020-05-14","MATA ALAGOANA","MATA ALAGOANA","27009"
"5913910603205749cd15a05e","Microrregião Faxinal",0.362812080838987,"2020-05-14","FAXINAL","FAXINAL","41012"
