PAIS,UF,COD_UF,COD_MUNIC,CD_GEOCMU,MUNICIPIO,POP2019
BRA,MA,21,2754,2102754,Capinzal do Norte,10934
BRA,MA,21,2804,2102804,Carolina,24322
BRA,MA,21,2903,2102903,Carutapera,23807
BRA,MA,21,3000,2103000,Caxias,164880
BRA,MA,21,3109,2103109,Cedral,10675
BRA,MA,21,3125,2103125,Central do Maranhão,8673
BRA,MA,21,3158,2103158,Centro do Guilherme,13458
BRA,MA,21,3174,2103174,Centro Novo do Maranhão,21622
BRA,MA,21,3208,2103208,Chapadinha,79675
BRA,MA,21,3257,2103257,Cidelândia,14697
BRA,MA,21,3307,2103307,Codó,122859
BRA,MA,21,3406,2103406,Coelho Neto,49435
BRA,MA,21,3505,2103505,Colinas,41178
BRA,MA,21,3554,2103554,Conceição do Lago-Açu,16237
BRA,MA,21,3604,2103604,Coroatá,65296
